features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
11659327,73.8353653,18.5209255,Brihan Maharashtra College of Commerce,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
7082319,73.8779602,18.5185318,West End,"cultural,cinemas,theatres_and_entertainments,interesting_places"
1880315,73.8385849,18.5311623,,"religion,other_temples,interesting_places"
1880199,73.8353653,18.5172577,HAL Marut,"other,unclassified_objects,interesting_places,historic_object"
1880313,73.8374176,18.5299301,,"cultural,urban_environment,interesting_places,sculptures"
7087224,73.8766251,18.5286922,Alankar Cinema,"cultural,cinemas,theatres_and_entertainments,interesting_places"
5686947,73.8763275,18.5114346,Hazrat Babajaan Dargah,"religion,other_temples,interesting_places"
4990802,73.877861,18.526844,Inox,"cultural,cinemas,theatres_and_entertainments,interesting_places"
7726859,73.8344879,18.5230408,Vasupujya Jinalaya Jain Temple,"religion,other_temples,interesting_places"
1880200,73.8346405,18.5163994,Shri Gurudev Datt Mandir,"religion,hindu_temples,interesting_places"
1880111,73.853096,18.4993114,Shri Kanchi shankar math,"religion,other_temples,interesting_places"
7356482,73.8792191,18.5184422,Dr. Babasaheb Ambedkar,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
1880110,73.8527603,18.4992752,Swami samarth seva kendra,"religion,other_temples,interesting_places"
1880109,73.8520966,18.4993134,Vedacharya Phatak Guruji,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
5686955,73.8794785,18.5200119,ISKCON Temple,"religion,hindu_temples,interesting_places"
7082318,73.8794785,18.5145473,Victory Cinema,"cultural,cinemas,theatres_and_entertainments,interesting_places"
7672474,73.8790436,18.5129738,Burhani Masjid,"religion,other_temples,interesting_places"
7977941,73.8331833,18.524971,Hanuman Mandir,"religion,hindu_temples,interesting_places"
1880347,73.8379974,18.535614,Hutatma Chaphekar Bandhu Memorial,"historic,monuments_and_memorials,interesting_places,monuments"
7112750,73.8590775,18.4971256,Atul electroformers,"cultural,urban_environment,interesting_places,installation"
1880166,73.8386307,18.504467,Bal Shivaji Mitra Mandal,"religion,hindu_temples,interesting_places"
9958520,73.8592224,18.4971199,Kubera Estate,"other,unclassified_objects,interesting_places,tourist_object"
7985101,73.8761063,18.535141,Tarun Vikas Mandal,"religion,hindu_temples,interesting_places"
7087222,73.8690567,18.4993534,Apsara Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
4990798,73.8575821,18.4961071,Laxminarayan Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
7087221,73.8575745,18.4960613,,"cultural,cinemas,theatres_and_entertainments,interesting_places"
1880314,73.8343658,18.5326996,Pramod Mahale,"historic,monuments_and_memorials,interesting_places,monuments"
11813672,73.8470917,18.4975605,Parvati,"view_points,other,religion,hindu_temples,interesting_places,banks,bank,tourist_facilities"
5686882,73.8471069,18.4975433,Parvati Temple,"religion,hindu_temples,interesting_places"
7045147,73.8468323,18.4972668,Parvati Museum,"cultural,museums,interesting_places,other_museums"
15385780,73.8466644,18.4972229,Parvati Hill,"mountain_peaks,interesting_places,natural,geological_formations"
4959610,73.8299942,18.5242653,Dr. Babasaheb Ambedkar Museum,"cultural,museums,interesting_places,other_museums"
1880067,73.8390656,18.5007324,Shri Vitthal Rukmini Mandir Dattawadi,"religion,hindu_temples,interesting_places"
1879183,73.8292618,18.5192833,Bhandarkar Oriental Research Institute,"architecture,historic_architecture,interesting_places,other_buildings_and_structures"
1880526,73.852066,18.5461655,MiG-23MF,"other,unclassified_objects,interesting_places,historic_object"
15611823,73.8294449,18.5156403,National Film Archive of India,"museums,cultural,interesting_places,other_museums"
5102357,73.8321457,18.5081024,Saint Crispin's Church,"religion,other_temples,interesting_places"
9958522,73.8329468,18.5064144,Amruteshwar Mandir,"religion,hindu_temples,interesting_places"
7082317,73.8355713,18.5378513,E-Square Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
1880420,73.8841324,18.5283222,General Arunkumar Vaidya,"historic,monuments_and_memorials,interesting_places,monuments"
5686774,73.8278427,18.5269794,,"religion,hindu_temples,interesting_places"
5011414,73.8853607,18.5283833,Seafarers Memorial,"historic,monuments_and_memorials,interesting_places,monuments"
15784820,73.8855591,18.5126877,Gurdwara Guru Nanak Darbar Camp Pune I,"religion,other_temples,interesting_places"
1880391,73.885788,18.5125999,Gurudwara,"religion,other_temples,interesting_places"
7978453,73.8502121,18.4923439,Shri Gajanan Maharaj Mandir,"religion,hindu_temples,interesting_places"
1879487,73.8272934,18.5131702,Wisdom Tree (FTII),"religion,other_temples,interesting_places"
5686949,73.8843689,18.5077496,Saint Mary's Church,"religion,churches,interesting_places,other_churches"
7978452,73.8500443,18.4918499,Ganesh Mandir,"religion,hindu_temples,interesting_places"
7082320,73.8875656,18.5193768,Liberty Cinema,"cultural,cinemas,theatres_and_entertainments,interesting_places"
1880101,73.851059,18.4912319,,"fountains,cultural,urban_environment,interesting_places"
5102371,73.8782425,18.5436993,Sadal Baba,"religion,other_temples,interesting_places"
7299651,73.8896561,18.5230751,National War Memorial Southern Command,"historic,monuments_and_memorials,interesting_places,monuments"
11263556,73.8567505,18.5518703,Kirkee War Cemetery,"cemeteries,historic,monuments_and_memorials,burial_places,interesting_places,war_graves,monuments"
16244529,73.8569565,18.5519199,Kirkee Memorial,"historic,burial_places,interesting_places,war_memorials"
7082311,73.8579102,18.4886951,City Pride Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
11471113,73.8258514,18.5057983,Dashabhuja Mandir,"religion,hindu_temples,interesting_places"
1880340,73.8282013,18.539011,,"religion,hindu_temples,interesting_places"
1880090,73.8460617,18.4891338,Dashabhuja Ganapati,"religion,hindu_temples,interesting_places"
5102372,73.8867493,18.5372391,Buddha-Hall,"religion,other_temples,interesting_places"
5167797,73.8254623,18.5056057,Bal Tarun Mandal,"religion,hindu_temples,interesting_places"
11381988,73.8276901,18.5389194,Chaturshrungi Mandir,"religion,hindu_temples,interesting_places"
11679344,73.8369141,18.4926891,Pu La Deshpande Udyan,"urban_environment,gardens_and_parks,cultural,interesting_places"
1880093,73.8354034,18.4936333,Navshya Maruti,"religion,hindu_temples,interesting_places"
7672475,73.8886032,18.5369167,Osho Ashram,"religion,other_temples,interesting_places"
1880429,73.8911438,18.5321999,,"cemeteries,historic,burial_places,interesting_places"
1880531,73.8820724,18.5458145,Tarkeshwar Shiva Temple,"religion,hindu_temples,interesting_places"
1880102,73.8526306,18.4855785,Aranyeshwar Temple,"religion,hindu_temples,interesting_places"
4942900,73.882164,18.5462742,Tarkeshwar Mandir Hill,"natural,interesting_places,nature_reserves,other_nature_conservation_areas"
1879362,73.8265457,18.498354,Datta Mandir,"religion,other_temples,interesting_places"
5102346,73.8211517,18.5061646,Jain Temple,"religion,other_temples,interesting_places"
4982512,73.8907623,18.5022526,Dhanwantari Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
9958493,73.8177338,18.5240479,Hanuman Mandir,"religion,hindu_temples,interesting_places"
11222870,73.8222885,18.5013638,Joshi's Museum of Miniature Railways,"cultural,museums,interesting_places,museums_of_science_and_technology,other_technology_museums"
1880521,73.8547058,18.5582809,Church,"religion,other_temples,interesting_places"
1879478,73.8174667,18.5115089,Bedekar Ganapati Mandir,"religion,hindu_temples,interesting_places"
5165269,73.8204803,18.5034504,Maruti Mandir,"religion,hindu_temples,interesting_places"
1879510,73.8208542,18.5382977,,"fountains,cultural,urban_environment,interesting_places"
15841658,73.8272858,18.4933681,"Tathawade Garden, Pune","gardens_and_parks,cultural,urban_environment,interesting_places"
1879355,73.8258209,18.4944305,Ramambika Devi Mandir,"religion,hindu_temples,interesting_places"
11673298,73.8154449,18.525486,Vetal Tekdi,"mountain_peaks,geological_formations,natural,interesting_places"
6189253,73.8232117,18.4967098,Ganesh Temple,"religion,hindu_temples,interesting_places"
7082303,73.8209457,18.4997425,City Pride Kothrud,"cultural,cinemas,theatres_and_entertainments,interesting_places"
7087226,73.8882599,18.546566,Gunjan Talkies,"cultural,cinemas,theatres_and_entertainments,interesting_places"
11586879,73.8980942,18.5130577,Empress Botanical Garden,"urban_environment,gardens_and_parks,cultural,interesting_places"
1880530,73.8836746,18.5513744,Noorani Masjid,"religion,other_temples,interesting_places"
15599923,73.8979263,18.5088253,Roman Catholic Diocese of Poona,"religion,other_temples,interesting_places"
5686751,73.8171234,18.5042419,Auditorium,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
1879448,73.8180313,18.5023403,Mrutyunjayeshwar Mandir,"religion,hindu_temples,interesting_places"
1880401,73.8981628,18.5087662,ST PATRICKS CATHEDRAL,"religion,cathedrals,interesting_places"
5686956,73.8981705,18.5087585,Saint Patrick's Church,"religion,churches,interesting_places,other_churches"
1880402,73.8982162,18.5088406,St. Patrick's Cathedral,"religion,cathedrals,interesting_places"
5102374,73.8402634,18.5590286,Kali matha temple,"religion,other_temples,interesting_places"
1879331,73.8264389,18.4899139,Hanuman Mandir,"religion,hindu_temples,interesting_places"
1879479,73.8130875,18.5132046,Bhavani mandir,"religion,hindu_temples,interesting_places"
7979931,73.8987732,18.5069599,Bhairavnath Mandir,"religion,hindu_temples,interesting_places"
7045146,73.8236542,18.491991,Yash Laxmi Numismatic Museum,"cultural,museums,interesting_places,other_museums"
1880409,73.901062,18.5117912,Dr Ashok Sharaf Open Hardware,"other,unclassified_objects,interesting_places,tourist_object"
1880088,73.8547668,18.4773159,Padmavati Mandir,"religion,hindu_temples,interesting_places"
1880147,73.8747482,18.480793,,"religion,other_temples,interesting_places"
1880538,73.8757782,18.5599098,Sangam World Centre,"other,unclassified_objects,interesting_places,tourist_object"
7359311,73.815094,18.5020123,Maharshi Dhondo Keshav Karve,"historic,monuments_and_memorials,cultural,urban_environment,interesting_places,sculptures,monuments"
1880513,73.8386993,18.5608463,Ayappa temple,"religion,other_temples,interesting_places"
15832604,73.8246231,18.5523396,Savitribai Phule Pune University,"historic_architecture,architecture,interesting_places,other_buildings_and_structures"
4990801,73.9014053,18.5062656,Fame,"cultural,cinemas,theatres_and_entertainments,interesting_places"
5102376,73.8400726,18.5622501,,"religion,other_temples,interesting_places"
1879674,73.8257904,18.554245,Pune university honorable vice chancelor residential qarter,"historic,monuments_and_memorials,interesting_places,monuments"
5102375,73.8398743,18.5622501,,"religion,other_temples,interesting_places"
7066639,73.8137894,18.5014935,Sujit Aquariums,"cultural,aquariums,museums,interesting_places"
1879423,73.8134766,18.5021248,Chhatrapati Shivaji Maharaj,"historic,monuments_and_memorials,interesting_places,monuments"
5686757,73.8130112,18.5023575,Tuljabhavani Mata Mandir,"religion,hindu_temples,interesting_places"
7087225,73.8414993,18.5633469,Jaihind,"cultural,cinemas,theatres_and_entertainments,interesting_places"
1880515,73.836853,18.5618019,Ganesh Temple,"religion,hindu_temples,interesting_places"
7672471,73.8397522,18.5629768,St Thomas Orthodox Church,"religion,other_temples,interesting_places"
1880068,73.8444595,18.4763508,Taljai mandir,"religion,hindu_temples,interesting_places"
4982503,73.8123474,18.5026817,Yashwantrao Chavan Natyagruha,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
1879422,73.812355,18.50243,,"fountains,cultural,urban_environment,interesting_places"
5167796,73.8091431,18.510273,Ganesh Temple,"religion,hindu_temples,interesting_places"
5686736,73.8256531,18.4836273,Mandir,"religion,hindu_temples,interesting_places"
5686984,73.89328,18.5530128,Don Bosco Church,"religion,other_temples,interesting_places"
1880373,73.9048004,18.5055714,,"cemeteries,historic,burial_places,interesting_places"
11447701,73.8972702,18.4916306,Shinde Chhatri,"other,unclassified_objects,interesting_places,tourist_object"
1880534,73.8901596,18.5574093,,"historic,monuments_and_memorials,interesting_places,monuments"
