,features__id,features__geometry__coordinates__001,features__geometry__coordinates__002,features__properties__name,features__properties__kinds
256,5686757,73.8130112,18.5023575,Tuljabhavani Mata Mandir,"religion,hindu_temples,interesting_places"
257,7087225,73.8414993,18.5633469,Jaihind,"cultural,cinemas,theatres_and_entertainments,interesting_places"
258,1880515,73.836853,18.5618019,Ganesh Temple,"religion,hindu_temples,interesting_places"
259,7672471,73.8397522,18.5629768,St Thomas Orthodox Church,"religion,other_temples,interesting_places"
260,1880068,73.8444595,18.4763508,Taljai mandir,"religion,hindu_temples,interesting_places"
261,4982503,73.8123474,18.5026817,Yashwantrao Chavan Natyagruha,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
263,5167796,73.8091431,18.510273,Ganesh Temple,"religion,hindu_temples,interesting_places"
264,5686736,73.8256531,18.4836273,Mandir,"religion,hindu_temples,interesting_places"
265,5686984,73.89328,18.5530128,Don Bosco Church,"religion,other_temples,interesting_places"
267,11447701,73.8972702,18.4916306,Shinde Chhatri,"other,unclassified_objects,interesting_places,tourist_object"
269,7978449,73.8059692,18.5124779,Maruti Mandir,"religion,hindu_temples,interesting_places"
270,1880085,73.8553619,18.4716396,Laxmi Mandir Temple,"religion,hindu_temples,interesting_places"
271,7982637,73.855835,18.471611,Ganesh Sanjay Temple,"religion,hindu_temples,interesting_places"
272,1880084,73.8553925,18.4715824,Mhasoba Temple,"religion,hindu_temples,interesting_places"
273,1880371,73.9041367,18.539484,Zakariya Masjid,"religion,other_temples,interesting_places"
274,5102355,73.8558578,18.4712505,Nav Ekta Mitramandle,"religion,other_temples,interesting_places"
275,1880083,73.8552475,18.4709167,Mhasoba Bamaj Temple,"religion,hindu_temples,interesting_places"
276,5167806,73.8555984,18.470583,Maruti Temple,"religion,hindu_temples,interesting_places"
277,7982636,73.8558578,18.4705276,Boudh Vihor Temple,"religion,hindu_temples,interesting_places"
278,1880082,73.855278,18.4701672,Shankar Mandir Temple,"religion,hindu_temples,interesting_places"
279,5167805,73.8559189,18.4700546,Somaj Mandir Temple,"religion,hindu_temples,interesting_places"
280,5686740,73.8094864,18.4958725,Shri Ram Mandir,"religion,hindu_temples,interesting_places"
281,5686991,73.8870926,18.562645,Shani Temple,"religion,hindu_temples,interesting_places"
283,1879416,73.8032608,18.5103474,Ramkrishna Paramhansnagar Sarvajanik Ganeshotsav Mandal,"religion,hindu_temples,interesting_places"
284,1880089,73.8639832,18.4683685,Shani Maruti Temple,"religion,hindu_temples,interesting_places"
285,14698880,73.8279648,18.4754562,Taljai Hills,"mountain_peaks,interesting_places,natural,geological_formations"
286,1880072,73.8612137,18.4678745,Ankush Mitra Mandal trust,"religion,other_temples,interesting_places"
287,9958534,73.8322372,18.5678463,St. Mary's Malankara Catholic Cathedral,"religion,other_temples,interesting_places"
288,14956721,73.8321228,18.5679245,Syro-Malankara Catholic Apostolic Exarchate of St. Ephrem of Khadki,"religion,other_temples,interesting_places"
289,11751657,73.901474,18.552269,Aga Khan Palace,"palaces,architecture,historic_architecture,interesting_places"
291,11725176,73.9016266,18.5523987,Aga Khan Palace,"palaces,architecture,historic_architecture,interesting_places"
292,1879415,73.8016281,18.5097637,Vithoba Temple,"religion,hindu_temples,interesting_places"
293,16054735,73.8896484,18.5645752,Yerawada Central Jail,"historic_architecture,architecture,interesting_places,other_buildings_and_structures"
294,7978448,73.8192902,18.478775,Chakradhar Mitra mandal,"religion,hindu_temples,interesting_places"
295,5686985,73.8293304,18.5695095,Dutt Ashram,"religion,hindu_temples,interesting_places"
296,5686894,73.9029694,18.4849281,Jhulelal Hindu Temple,"religion,hindu_temples,interesting_places"
297,5165268,73.7971954,18.5213108,Mhatoba Mandir,"religion,hindu_temples,interesting_places"
299,1880137,73.8956146,18.4759617,Shiva Temple,"religion,hindu_temples,interesting_places"
301,1880547,73.9121475,18.5457878,Cybage Fountain,"fountains,cultural,urban_environment,interesting_places"
302,1880523,73.8289032,18.5725403,Ganesh Temple,"religion,hindu_temples,interesting_places"
303,5686876,73.845871,18.4628372,Ganesh Temple,"religion,other_temples,interesting_places"
304,4990799,73.8892593,18.4707298,E Square Multiplex,"cultural,cinemas,theatres_and_entertainments,interesting_places"
305,5686756,73.7976608,18.5028858,Shantiban Ganesh Mandir,"religion,hindu_temples,interesting_places"
306,1880129,73.8933182,18.4726486,Musjid kauser bagh,"religion,other_temples,interesting_places"
307,7982631,73.826828,18.5728474,Swami Narayan Gujarati Temple,"religion,hindu_temples,interesting_places"
308,4982504,73.8128891,18.5633545,Pandit Bhimsen Joshi Kalamandir,"cultural,theatres_and_entertainments,interesting_places,other_theatres"
309,7982629,73.8087311,18.560421,Ganesh Mandir,"religion,hindu_temples,interesting_places"
311,5686816,73.8114853,18.5640736,Hanuman Mandir,"religion,hindu_temples,interesting_places"
